FurID,ZeroTo30,ThirtyOneToSixty,SixtyOneToNinety,NinetyOneToOneTwenty,OneTwentyOneToOneEighty,MoreThanOneEighty
FUR17400689656,1068.2999999999997,0.0,0.0,0.0,0.0,0.0
FUR17400698182,5404.32032787,2203.779672130001,0.0,0.0,0.0,0.0
FUR17400718389,2299.24,0.0,0.0,0.0,0.0,0.0
FUR17400720744,0.0,0.0,0.0,0.0,0.0,3697.46
FUR17400734874,4990.98,0.0,0.0,0.0,0.0,0.0
FUR17400750692,1995.3399999999997,0.0,0.0,0.0,0.0,0.0
FUR17400753250,0.0,0.0,2860.8,1414.3199999999997,0.0,0.0
FUR17400757284,2110.01,0.0,0.0,0.0,0.0,0.0
FUR17400789894,0.0,0.0,0.0,619.5,0.0,0.0
FUR17400819126,0.0,0.0,0.0,0.0,0.0,1086.65
FUR17400823523,0.0,0.0,1734.6,1734.6,1734.6,1734.2800000000007
FUR17400832501,0.0,0.0,0.0,619.5,619.03,0.0
FUR17400845086,0.0,0.0,0.0,5897.61,0.0,0.0
FUR17400847984,1766.46,0.0,1766.46,1766.46,1766.46,0.5900000000001455
FUR17400857003,0.0,0.0,0.0,184.68,2606.85,0.0
FUR17400861104,0.0,0.0,3281.92,3281.92,3281.92,3281.67
FUR17400876440,0.0,0.0,2171.1800000000003,2171.18,2171.1800000000003,2171.5600000000004
FUR17400878977,1006.54,1006.54,1006.54,553.7099999999998,0.0,0.0
FUR17400895519,1472.6400000000003,0.0,0.0,0.0,0.0,0.0
FUR17400978180,0.0,0.0,1905.42,1905.42,0.01999999999998181,0.0
FUR17400992153,0.0,0.0,0.0,0.0,542.0,0.0
FUR17401022104,976.3100000000001,0.0,0.0,0.0,0.0,0.0
FUR17401048531,0.0,0.0,0.0,0.0,3658.0,3657.8500000000004
FUR17401097492,0.0,0.0,0.0,0.0,0.0,750.48
FUR17401114596,4887.78524576,1949.84,2166.56,1884.8,0.0,13017.034754240001
FUR17401137785,0.0,0.0,0.0,0.0,835.91,0.0
FUR17401148816,2601.8999999999996,0.0,0.0,0.0,0.0,0.0
FUR17401157500,1680.06,0.0,0.0,0.0,0.0,0.0
FUR17401182055,0.0,0.0,0.0,0.0,0.0,1238.68
FUR17401195726,0.0,0.0,0.0,0.0,614.8600000000001,0.0
FUR17401210191,0.0,0.0,0.0,2372.75,0.0,0.0
FUR17401214403,0.0,4259.8,4259.8,4261.359999999998,0.0,0.0
FUR17401221433,0.0,0.0,0.0,0.0,0.0,1232.0
FUR17401223217,0.58,0.0,0.0,0.0,0.0,0.0
FUR17401224516,0.66,0.0,0.0,0.0,0.0,0.0
FUR17401254362,773.88,0.0,0.0,0.0,0.0,0.0
FUR17401255501,0.0,0.0,0.0,0.0,0.0,228.89
FUR17401265987,680.7534426,355.18,29.74655740000003,0.0,0.0,0.0
FUR17401266673,801.1331147999999,406.21,0.0,406.21,1277.8468852,0.0
FUR17401266902,0.0,0.0,3929.4,3929.4,3929.4,3929.5499999999993
FUR17401274576,1782.98,0.0,0.0,0.0,0.0,0.0
FUR17401276664,0.0,0.0,0.0,76.68,774.97,0.0
FUR17401280738,1006.9,0.0,0.0,0.0,0.0,0.0
FUR17401282489,0.0,0.0,0.0,0.0,93.6,0.0
FUR17401291274,0.0,0.0,0.0,0.0,2419.0,0.9800000000000182
FUR17401297100,5798.99,0.0,0.0,0.0,0.0,0.0
FUR17401318105,0.0,0.0,1240.1799999999998,1239.54,0.0,0.0
FUR17401320489,595.8,0.0,0.0,0.0,0.0,0.0
FUR17401322610,143.87,0.0,0.0,0.0,0.0,0.0
FUR17401327980,0.0,0.0,1678.6099999999997,0.0,0.0,0.0
FUR17401350909,0.0,0.0,1161.12,1161.12,619.5100000000002,0.0
FUR17401353838,8000.52,4524.289999999998,0.0,0.0,0.0,0.0
FUR17401380648,1193.38,0.0,0.0,0.0,0.0,0.0
FUR17401419142,0.0,0.0,0.0,0.0,181.08,0.0
FUR17401425005,1028.35,0.0,0.0,0.0,0.0,0.0
FUR17401427096,0.72,0.0,0.0,0.0,0.0,0.0
FUR17401445448,1303.19,0.0,0.0,0.0,0.0,0.0
FUR17401461348,0.0,0.0,0.0,0.0,385.86,929.7499999999999
FUR17401462592,0.0,0.0,0.0,0.0,700.8499999999998,0.0
FUR17401476265,0.0,0.0,5033.04,4855.000000000001,0.0,0.0
FUR17401484719,0.0,0.0,4135.96,4135.96,3424.3900000000003,0.0
FUR17401526305,1005.97,0.0,0.0,0.0,0.0,0.0
FUR17401539454,1625.52,0.0,0.0,0.0,0.0,0.0
FUR17401539978,0.0,0.0,0.0,0.0,0.0,871.06
FUR17401548689,3640.3,0.0,0.0,0.0,0.0,0.0
FUR17401556501,0.0,0.0,0.0,0.0,1000.35,0.0
FUR17401569091,0.0,0.0,6984.42,6984.42,6984.42,6984.610000000001
FUR17401570810,0.0,0.0,0.0,0.0,618.56,0.0
FUR17401572612,860.18,0.0,0.0,0.0,0.0,0.0
